"","x"
"1",-3.90164215187314
"2",-1.88507106121617
"3",-3.6863753254585
"4",-2.40317791673209
"5",-1.31004449210795
"6",-2.90948022454773
"7",-3.71411820010448
"8",-1.86692156430033
"9",-3.2183708942553
"10",-4.28848597202653
"11",-3.58324291871732
"12",-2.580110517748
"13",-4.74905649465441
"14",-4.07388526285633
"15",-1.71678914802625
"16",-1.99286444341323
"17",-2.3333290267496
"18",-2.86772578036225
"19",-3.45015352106215
"20",-3.09519346089721
"21",-2.73962129200471
"22",-4.20402716463497
"23",-3.35203885384796
"24",-3.55804521103316
"25",-3.60286714968622
"26",-2.03352867127413
"27",-0.0766258718729424
"28",-2.46085835330888
"29",-1.71871095133499
"30",-4.03107579457261
"31",-3.19251954175398
"32",-2.956449961118
"33",-4.17337663717183
"34",-3.58001523502238
"35",-3.64230287997366
"36",-1.906801390686
"37",-2.05886548406003
"38",-3.04298212355811
"39",-2.88476145157937
"40",-1.95082531225852
"41",-3.08322957200714
"42",-2.45099583159282
"43",-2.54979522983569
"44",-1.49508226840806
"45",-4.04453392883172
"46",-3.61964923624978
"47",-3.52365764574452
"48",-2.10869194159403
"49",-3.69060064388646
"50",-3.64281430317843
"51",-3.22287250368409
"52",-1.72353269967368
"53",-4.04239965477931
"54",-2.38959368413435
"55",-3.32779626935441
"56",-3.21116370923631
"57",-2.90948303305768
"58",-3.53980854852225
"59",17.4384333617675
"60",-1.77133581916665
"61",-2.07762760984742
"62",-2.05661949476593
"63",-3.08994733408638
"64",-2.80224802889949
"65",-3.22280318027807
"66",-3.66965169544432
"67",-3.40912184828766
"68",-1.97901956276641
"69",-3.31543510349429
"70",-4.33351981451558
"71",-3.68704638498483
"72",-3.66292379155612
"73",-3.37306750759611
"74",-3.73165251501089
"75",-2.67301939954723
"76",-3.67614174426225
"77",-3.68327690659272
"78",-1.14458858375302
"79",-4.15858546727639
"80",-3.83635742440623
"81",-3.35818954913465
"82",-1.7562445660415
"83",-3.61377381181993
"84",-2.15767676048312
"85",-3.23120458413647
"86",-3.29372603159319
"87",-3.68704595487028
"88",-2.19339493787633
"89",-3.61854849768047
"90",-2.83298068813655
"91",-2.21917400838773
"92",-3.28827566373783
"93",-3.82637549253954
"94",-2.45109952263286
"95",-4.24341497548306
"96",-2.17456665747032
"97",-3.20579518844696
"98",-3.33531215754487
"99",-3.68215396012126
"100",-3.60607988644396
"101",-4.12836998878694
"102",-3.10684960207134
"103",-3.16825684537841
"104",-2.15131768249191
"105",-1.18833523498682
"106",-2.96097853269954
"107",-4.22176110928205
"108",-3.60201515783141
"109",-3.06239238070966
"110",-2.48365651807864
"111",-4.04856787484171
"112",-3.76325193633198
"113",-3.83370461576193
"114",-4.06398061417823
"115",-4.14327244971331
"116",-4.33875861738914
"117",-4.10395028305492
"118",-3.92467371703318
"119",-3.09429626783361
"120",-3.37676958324557
"121",-3.16041168303949
"122",-2.25939483301412
"123",-2.02767018254387
"124",-2.49163920910404
"125",-3.24172842707094
"126",-4.14317252103272
"127",-3.6102385253965
"128",-0.862501095654334
"129",-3.62385606715121
"130",-1.47457841379311
"131",-3.53066658078417
"132",-3.00917300512486
"133",-2.80288556711677
"134",-3.64746632939086
"135",-1.15326256473809
"136",-2.79450285630257
"137",-3.73795366848539
"138",-3.03489739899719
"139",-1.87822838128105
"140",-3.31230220914006
"141",-3.91631467335538
"142",-3.25749010968288
"143",-2.52775608125274
"144",-1.91912850055846
"145",-3.66458108842783
"146",-3.89141892998496
"147",-3.0404703550399
"148",-3.54191962895511
"149",-2.69600263951846
"150",-4.04253982524374
"151",-0.513595212163146
"152",-2.43991025321138
"153",-1.02305028069579
"154",-4.1178945841035
"155",-3.54911968444143
"156",-3.52493450170453
"157",-2.01184629291801
"158",-2.38678287407761
"159",-4.612285501993
"160",-3.35802740755747
"161",-2.56472829706176
"162",-2.08025533242528
"163",-3.69676524725088
"164",-3.49393522055857
"165",-4.34687548843475
"166",-2.03147370274445
"167",-1.97625035904871
"168",-2.68437835232648
"169",-3.62617895703589
"170",-3.91061771078731
"171",-4.00910911848169
"172",-3.5943736182881
"173",-3.98722813668085
"174",-1.59892251865104
"175",-1.81719906686956
"176",-4.39725680443662
"177",-3.89232669877353
"178",-1.78108544654856
"179",-0.751820432827258
"180",-3.89391490997828
"181",-2.80156146960226
"182",-0.989003503708068
"183",-3.62205767573392
"184",-3.42964287808338
"185",-4.04301781857594
"186",-3.25438231365832
"187",-3.89389333796165
"188",-2.0845245981271
"189",-2.90340651994536
"190",-3.61621031715722
"191",-4.28090078176462
"192",-3.48154234395757
"193",-3.96834495531962
"194",-2.58961712161266
"195",-2.46042015878884
"196",-4.09989583956737
"197",-2.8393100553092
"198",-0.37312003571999
"199",-3.26627281396933
"200",-1.66534224285201
"201",-3.68854070278364
"202",-3.84139807433148
"203",-3.38159935894987
"204",-4.38260668991504
"205",-3.55575640065814
"206",0.932191653374066
"207",-3.92487107289387
"208",-2.42701455701787
"209",-3.72528123138444
"210",-2.98719448348691
"211",-3.13839508603041
"212",-3.2527741234737
"213",-4.20247471698291
"214",-2.22402012944519
"215",-1.93165165117393
"216",-2.97784826602843
"217",-1.82939852048338
"218",-3.67213874428192
"219",-2.75143026799544
"220",-3.72106842013104
"221",-3.06504714024611
"222",-3.44321870120913
"223",-3.52479604168389
"224",-3.92585297400806
"225",-2.38345232941099
"226",-3.22947539065691
"227",-2.36822942692481
"228",-1.14634694735469
"229",-4.4057482918741
"230",-3.71696053154879
"231",-3.22413682202668
"232",-3.52624969119491
"233",-1.79776898130434
"234",-4.13763798387546
"235",-0.601973395682058
"236",-2.40357631402735
"237",-3.60765585388025
"238",-3.57307227968112
"239",-2.5078146513966
"240",-0.834161247062802
"241",-3.36574126018164
"242",-2.72533804129378
"243",-2.94173870909976
"244",18.4219181780508
"245",-2.71131164043048
"246",-4.18568526743892
"247",-3.13953772171642
"248",-3.96062845683905
"249",-2.94849334851553
"250",-0.828676365775241
"251",-4.12426974812419
"252",-2.13052306996712
"253",-3.97950664051884
"254",-3.32137024881535
"255",-3.00730769338279
"256",-2.6941162295414
"257",-3.39854430983246
"258",-2.90342014335334
"259",-3.74583108149502
"260",-2.16525762861545
"261",-2.10752670294825
"262",-3.54268876874267
"263",-2.75906012369414
"264",-3.57693536813267
"265",-2.99979706939707
"266",-2.67811248264686
"267",-3.69304045115231
"268",-4.40460412047648
"269",-3.47425877382554
"270",-2.93068348661808
"271",-1.63544551654758
"272",-4.00652140563755
"273",-3.24072532572298
"274",-3.78732690220628
"275",-3.44142488901393
"276",0.495963402830526
"277",-3.62865847158014
"278",-0.968046187373133
"279",-3.35773434878893
"280",-2.30800764260507
"281",-3.62877771531799
"282",-4.09512524486013
"283",-2.82277269448552
"284",-3.01531290563029
"285",-2.05559454972421
"286",-0.8070163092481
"287",-4.5243867659274
"288",-4.54827455398639
"289",-3.3844406420155
"290",-3.78754005493468
"291",-3.99007299187305
"292",-4.44284807338924
"293",-3.04792053303763
"294",-4.183191478675
"295",-3.14639033296653
"296",1.3255195846688
"297",-1.95024998743034
"298",-1.83157900793711
"299",-1.84112107267865
"300",-3.27655688715802
"301",-3.51877075232205
"302",-4.0494092113617
"303",-4.17908154955218
"304",-2.62172692109327
"305",-2.57148072699573
"306",-4.3817476053028
"307",-3.62007205096855
"308",-4.05540962538911
"309",-2.67204492880287
"310",-4.17289699153765
"311",-3.20699426663202
"312",-1.90272011266591
"313",-4.23687115666301
"314",-4.21659232609197
"315",-2.42650841646822
"316",-3.88475188274852
"317",1.21910799110768
"318",-2.34472395076389
"319",-2.8437812933377
"320",-3.61188851806195
"321",-1.41247511035854
"322",-3.71868825619735
"323",-2.81685233931198
"324",-3.1292286943414
"325",-3.36523147343023
"326",-4.14648427576628
"327",-2.50639913209496
"328",-4.50964900774707
"329",-2.00268511462154
"330",-3.10191735575089
"331",-3.46723791216802
"332",-3.63449524118734
"333",-3.37280564168188
"334",-0.97517545577237
"335",-3.36679269544736
"336",-2.10509496823687
"337",-2.56975277432103
"338",-3.6947160829264
"339",-2.05607899518627
"340",-3.72035620737671
"341",-1.98130237330528
"342",-3.71265104841116
"343",-1.86376979976046
"344",-2.09484338991264
"345",-2.52184287408773
"346",-2.71723540259654
"347",-4.59328659060579
"348",-4.16649882244835
"349",-4.1885127994439
"350",-3.25769100860245
"351",-1.38161574988996
"352",-3.33864698549247
"353",-1.66557097442342
"354",-3.22874863621653
"355",-2.06908375130734
"356",-4.71891083659551
"357",-2.03580835996834
"358",-2.13857716296614
"359",-3.6020510885123
"360",-2.99452184485006
"361",-4.26989720877656
"362",-3.94913617334773
"363",-3.29593445195535
"364",-3.94920904780767
"365",-4.18826483414054
"366",-3.12558530088567
"367",-2.52211715579914
"368",-1.11189102867835
"369",-4.51020619209623
"370",-3.31664824399522
"371",-3.69979492541262
"372",-2.55357178467777
"373",-3.21738570444556
"374",-3.29964321530266
"375",-3.84001559828369
"376",-2.6589191582337
"377",-1.93319427677425
"378",-3.63493589217292
"379",-3.41632884337238
"380",-2.13561678316507
"381",-3.49415108132904
"382",-4.17129041552114
"383",-3.97562793349137
"384",-3.80930655027941
"385",-2.39020398300087
"386",-2.18910586104291
"387",-3.89030511185853
"388",-3.3946921882966
"389",-4.44268762622889
"390",-1.9692734769606
"391",-1.6962985615545
"392",-4.65574970954043
"393",-2.18173186186868
"394",-4.21343400064152
"395",-3.76061397675091
"396",-2.79322387036827
"397",-3.34406693721622
"398",-3.56763289160417
"399",-2.65904239035084
"400",-3.83571864399694
"401",-3.31057833719015
"402",-3.97137364843964
"403",-1.9535675061435
"404",-3.05309477377964
"405",-3.62702682094207
"406",-4.42300628573269
"407",-2.34888380987265
"408",0.470353701319647
"409",-4.01749917872292
"410",-2.27058133935533
"411",-3.47179177296836
"412",-4.12988365670445
"413",-1.82469494432063
"414",-3.35824362636654
"415",-1.84006544255568
"416",-3.32346834891715
"417",-1.4396881294142
"418",-2.56461892138979
